,stars_business,Alcohol,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BikeParking,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,Caters,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTakeOut,WiFi
0,3.5,full_bar,None,None,None,None,None,None,None,None,None,None,True,False,True,False,False,False,None,False,None,None,None,None,None,None,None,False,casual,False,True,2,True,True,None
1,3.0,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,average,False,casual,False,True,2,True,True,no
2,4.0,full_bar,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,average,True,casual,False,True,1,False,False,free
3,3.5,None,True,False,None,False,False,False,False,False,False,True,None,False,True,False,False,False,False,True,False,False,False,True,False,True,average,False,casual,False,True,2,False,True,free
4,3.5,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,None,None,None,None,None,None,quiet,False,casual,False,True,2,False,True,free
5,4.0,beer_and_wine,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,average,True,casual,False,True,1,True,True,free
6,4.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,4.0,full_bar,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,quiet,False,casual,False,True,1,False,True,no
8,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,None,None,None,None,None,None,None,None,None,None,False,2,False,None,None
9,3.0,beer_and_wine,False,False,False,False,False,False,False,False,False,None,True,False,False,True,False,False,True,True,None,None,None,None,None,None,quiet,True,casual,False,True,2,True,True,no
10,2.5,full_bar,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,average,True,casual,None,True,2,True,True,None
