"","business_id","sug1","sug2","sug3","sug4_byattribute"
"1","--I7YYLada0tSLkORTHb5Q","Making better coffee is a good way to increase rating.","Train your waiters to be more courteous.","Clear and extensive menu suits customers well."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"2","--S62v0QgkqQaVUhFnNHrw","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more friendly.","Making better coffee is a good way to increase rating.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"3","-_au0A8WcRW1z7sAnyl6-g","Train your waiters to be more friendly.","Train your waiters to be more courteous.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"4","-01XupAWZEXbdNbxNg5mEg","Parking lots create convinience for your customers. More parking places can increase your rating!","Make your table more clean.","Train your waiters to be more warm to customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"5","-0WegMt6Cy966qlDKhu6jA","The waiting time for customers may be too long. Shorten that time benefits your business! ","Making better coffee is a good way to increase rating.","Train your waiters to be more courteous."," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"6","-2pQf1ceDZyE2ReCNbj-3A","Parking lots create convinience for your customers. More parking places can increase your rating!","Since your location may be difficult to find, a marked sign can help a lot.","Delicious waffle attracts customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"7","-2ynmEkOCP4Qg39E0O1Ruw","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more courteous.","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"8","-382X_bWhJKPJKP1VfXOmw","The waiting time for customers may be too long. Shorten that time benefits your business! ","Train your waiters to be more courteous.","Making better coffee is a good way to increase rating.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"9","-49WY_TEa9ZEcRk_GnuLog","Making better coffee is a good way to increase rating.","The waiting time for customers may be too long. Shorten that time benefits your business! ","Fresh food is essential for your business. Keep the materials fresh!"," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"10","-4TMQnQJW1yd6NqGRDvAeA","Train your waiters to be more friendly.","Fresh food is essential for your business. Keep the materials fresh!","The waiting time for customers may be too long. Shorten that time benefits your business! "," Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"11","-5L8zOxibac-vBrsYtxXbQ","Train your waiters to be more courteous.","Train your waiters to be more warm to customers.","Train your waiters to be more friendly.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Re-considering pricing strategy may increase up to 0.2 star for you."
"12","-8AoSGOdZyDdTpT2oqX3zQ","Train your waiters to be more friendly.","Parking lots create convinience for your customers. More parking places can increase your rating!","Since your location may be difficult to find, a marked sign can help a lot.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"13","-8iwcXhLnyqbLgvcrJGgaw","The waiting time for customers may be too long. Shorten that time benefits your business! ","Fresh food is essential for your business. Keep the materials fresh!","Train your waiters to be more courteous.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Loud noise may decrease up to 0.5 star for you! So please keep quiet. Provie outdoor seating will increase 0.09 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
"14","-8O8sVCnaIKHP-596zN9UA","Train your waiters to be more friendly.","Fresh food is essential for your business. Keep the materials fresh!","Having table for large group can attract more customers.","Provide cater will increase 0.2 star for you. Provide BusinessParking will increase 0.25 star for you. Provide good breakfast will increase 0.05 star for you. Provide wine and beer will increase 0.15 star for you. Kids being noisy may decrease 0.2 star for you. Re-considering pricing strategy may increase up to 0.2 star for you."
